Company,Recent Close LTP,Previous Close LTP,Percentage Difference,Point Change
NFS,2070,532,289.10,1538.00
CHDC,1603.6,624.32,156.86,979.28
GFCL,1150,462.9,148.43,687.10
MHL,885.71,371.43,138.46,514.28
PROFL,785,341,130.21,444.00
API,357.14,160,123.21,197.14
SFCL,749,344,117.73,405.00
HIDCL,344.5,160.6,114.51,183.90
AHPC,324.27,151.36,114.24,172.91
KBSH,1978.18,926.36,113.54,1051.82
SHEL,314,149,110.74,165.00
SHPC,616.64,296.45,108.01,320.19
HDHPC,265.1,131,102.37,134.10
PRVU,273.1,136,100.81,137.10
MKCL,1680,840,100.00,840.00
AKPL,318,162.6,95.57,155.40
NRN,904.76,462.86,95.47,441.90
HATHY,1448.36,741.91,95.22,706.45
RADHI,421.96,217.66,93.86,204.30
NHPC,279,144,93.75,135.00
KBL,256,132.2,93.65,123.80
CFCL,763,394.1,93.61,368.90
LSL,278,146.5,89.76,131.50
GHL,270,142.4,89.61,127.60
AKJCL,268,141.76,89.05,126.24
ULBSL,2830,1499,88.79,1331.00
BARUN,412,219,88.13,193.00
RIDI,300,162.9,84.16,137.10
SMJC,611.93,333.17,83.67,278.76
NIMB,273,150.5,81.40,122.50
NIFRA,348.9,193,80.78,155.90
FINANCEIND,3848.71,2140.78,79.78,1707.93
CZBIL,266.83,150,77.89,116.83
UPCL,337,190.9,76.53,146.10
TRH,1300,737,76.39,563.00
UPPER,286,162.5,76.00,123.50
NLIC,918.18,522.73,75.65,395.45
ADBL,406.8,232.04,75.31,174.76
BGWT,984.62,564.52,74.42,420.10
KRBL,760,436.1,74.27,323.90
HRL,985,567,73.72,418.00
BFC,679,392,73.21,287.00
RURU,757.39,437.83,72.99,319.56
SSHL,275.6,160,72.25,115.60
MBL,278,161.7,71.92,116.30
RLFL,658,388,69.59,270.00
UMRH,568,335,69.55,233.00
SIFC,708.77,418.2,69.48,290.57
HPPL,420,248,69.35,172.00
MFIL,860,507.9,69.32,352.10
INVIDX,122.74,72.74,68.74,50.00
BPCL,486.2,290,67.66,196.20
TSHL,850,508,67.32,342.00
RHPL,450,269,67.29,181.00
HBL,289,173,67.05,116.00
CITY,1020,614,66.12,406.00
SBI,432.56,261.46,65.44,171.10
UMHL,375,227,65.20,148.00
GMFIL,672,406.8,65.19,265.20
