"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-08-31","1466.57","1489.01","1466.57","1484.99","0.00 %","3,462,586,125.00"
"NEPSE","2020-08-30","1459.16","1462.67","1444.92","1462.67","0.00 %","1,614,554,300.00"
"NEPSE","2020-08-27","1467.07","1472.73","1454.96","1458.04","0.00 %","1,981,761,050.00"
"NEPSE","2020-08-26","1445.47","1468.03","1445.47","1462.03","0.00 %","2,656,163,730.00"
"NEPSE","2020-08-25","1435.21","1440.94","1428.74","1440.94","0.00 %","1,855,180,510.00"
"NEPSE","2020-08-24","1413.09","1431.6","1413.09","1431.6","0.00 %","2,139,202,075.00"
"NEPSE","2020-08-23","1399.48","1410.34","1394.09","1410.34","0.00 %","1,108,053,597.00"
"NEPSE","2020-08-20","1392.89","1403.75","1392.89","1397.57","0.00 %","393,129,068.00"
"NEPSE","2020-08-19","1409.44","1409.44","1388.17","1391.29","0.00 %","976,235,059.00"
"NEPSE","2020-08-18","1403.98","1414.29","1400.81","1407.89","0.00 %","1,239,017,426.00"
"NEPSE","2020-08-17","1391.79","1402.21","1385.7","1402.21","0.00 %","1,074,932,597.00"
"NEPSE","2020-08-16","1407.85","1407.85","1381.89","1391.46","0.00 %","1,259,320,850.00"
"NEPSE","2020-08-13","1431.89","1431.89","1407.43","1408.79","0.00 %","1,048,911,791.00"
"NEPSE","2020-08-12","1426.55","1427.15","1413.55","1425.32","0.00 %","951,960,208.00"
"NEPSE","2020-08-11","1433.35","1441.31","1421.17","1423.81","0.00 %","1,271,738,914.00"
"NEPSE","2020-08-10","1394.78","1430.41","1394.34","1430.41","0.00 %","1,555,518,923.00"
"NEPSE","2020-08-09","1383.98","1392.68","1363.22","1392.68","0.00 %","977,895,525.00"
"NEPSE","2020-08-06","1387.44","1388.68","1365.66","1381.37","0.00 %","920,997,056.00"
"NEPSE","2020-08-05","1403.88","1403.88","1374.13","1382.66","0.00 %","1,189,526,408.00"
"NEPSE","2020-08-03","1395.08","1411.13","1384.86","1403.86","0.00 %","1,290,252,213.00"
"NEPSE","2020-08-02","1441.26","1441.26","1396.02","1396.28","0.00 %","1,841,242,332.00"
