"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-12-31","2079.37","2112.59","2073.8","2087.27","0.00 %","5,703,469,837.00"
"NEPSE","2020-12-30","2023.59","2062.06","2023.4","2062.06","0.00 %","4,446,222,579.00"
"NEPSE","2020-12-29","2016.26","2031.47","2009.38","2012.89","0.00 %","4,092,227,802.00"
"NEPSE","2020-12-28","1998.81","2013.51","1981.5","2007.29","0.00 %","3,850,320,045.00"
"NEPSE","2020-12-27","2047.12","2047.19","1994.8","1998.65","0.00 %","4,623,452,312.00"
"NEPSE","2020-12-24","2091.59","2091.59","2025.65","2038.63","0.00 %","5,369,046,322.00"
"NEPSE","2020-12-23","2094.27","2127.22","2063.13","2068.45","0.00 %","6,862,445,215.00"
"NEPSE","2020-12-22","1987.47","2061.41","1987.47","2061.41","0.00 %","6,740,744,432.00"
"NEPSE","2020-12-21","1919.05","1977.42","1874.07","1965.96","0.00 %","6,698,874,354.00"
"NEPSE","2020-12-20","2046.57","2046.57","1935.4","1935.63","0.00 %","8,612,857,317.00"
"NEPSE","2020-12-17","2058.72","2059.8","2025.19","2032.51","0.00 %","6,769,890,815.00"
"NEPSE","2020-12-16","2097.2","2097.2","2041.85","2055.22","0.00 %","5,144,675,578.00"
"NEPSE","2020-12-15","2085.56","2100.96","2050.9","2061.41","0.00 %","6,069,331,687.00"
"NEPSE","2020-12-14","2022.72","2069.06","2022.72","2067.17","0.00 %","7,204,136,923.00"
"NEPSE","2020-12-13","1973.75","2010.45","1967.44","2010.45","0.00 %","4,899,484,131.00"
"NEPSE","2020-12-10","1954.6","1974.12","1938.92","1964.02","0.00 %","4,146,321,050.00"
"NEPSE","2020-12-09","2006.4","2009.81","1948.98","1955.75","0.00 %","4,745,649,292.00"
"NEPSE","2020-12-08","2033.97","2047.35","1982.07","1995.35","0.00 %","5,719,436,384.00"
"NEPSE","2020-12-07","1929.46","2004.39","1914.42","2004.39","0.00 %","6,667,956,831.00"
"NEPSE","2020-12-06","2051.51","2051.51","1932.11","1932.11","0.00 %","7,209,180,213.00"
"NEPSE","2020-12-03","2090.79","2118.41","2040.99","2055.45","0.00 %","8,026,023,798.00"
"NEPSE","2020-12-02","2016.82","2077.7","2016.82","2071.02","0.00 %","7,463,482,972.00"
"NEPSE","2020-12-01","2009.46","2022.25","1966.18","2000.4","0.00 %","7,404,154,007.00"
"NEPSE","2020-11-30","2000","2028.45","1971.24","1997.05","0.00 %","8,867,714,682.00"
"NEPSE","2020-11-29","1912.11","1971.42","1912.11","1968.27","0.00 %","9,227,348,348.00"
"NEPSE","2020-11-26","1894.78","1926.91","1879","1893.24","0.00 %","7,613,030,091.00"
"NEPSE","2020-11-25","1820.87","1874.81","1820.87","1874.81","0.00 %","5,131,886,488.00"
"NEPSE","2020-11-24","1790.19","1813.86","1786.71","1810.11","0.00 %","5,442,950,189.00"
"NEPSE","2020-11-23","1789.35","1792.41","1772.11","1780.43","0.00 %","4,762,704,611.00"
"NEPSE","2020-11-22","1791.21","1811.63","1761.75","1782.81","0.00 %","6,878,787,665.00"
"NEPSE","2020-11-19","1750.42","1779.21","1750.42","1778.12","0.00 %","6,116,730,071.00"
"NEPSE","2020-11-18","1714.86","1741.81","1708.87","1741.81","0.00 %","4,791,041,649.00"
"NEPSE","2020-11-12","1713.71","1722.32","1702.7","1718.49","0.00 %","4,256,475,891.00"
"NEPSE","2020-11-11","1681.82","1707.67","1681.82","1707.67","0.00 %","4,099,604,742.00"
"NEPSE","2020-11-10","1660.37","1678.79","1659.18","1678.79","0.00 %","4,096,190,256.00"
"NEPSE","2020-11-09","1648.75","1661.32","1648.75","1652.8","0.00 %","3,699,879,726.00"
"NEPSE","2020-11-08","1643.29","1648.58","1637.8","1648.58","0.00 %","3,526,777,261.00"
"NEPSE","2020-11-05","1644.94","1645.08","1634.38","1636.17","0.00 %","2,842,469,177.00"
"NEPSE","2020-11-04","1645.53","1645.7","1638.69","1640.64","0.00 %","1,757,423,745.00"
"NEPSE","2020-11-03","1636.2","1644.61","1635.15","1643.03","0.00 %","2,237,964,572.00"
"NEPSE","2020-11-02","1644.01","1646.9","1635.64","1637.63","0.00 %","2,453,954,688.00"
"NEPSE","2020-11-01","1654.15","1654.15","1634.63","1640.95","0.00 %","2,930,939,007.00"
"NEPSE","2020-10-29","1661.64","1663.41","1640.48","1645.67","0.00 %","3,037,694,845.00"
"NEPSE","2020-10-28","1612.5","1647.45","1612.37","1647.45","0.00 %","2,725,994,069.00"
"NEPSE","2020-10-22","1609.11","1609.52","1596.22","1606.25","0.00 %","1,994,543,919.00"
"NEPSE","2020-10-21","1591.04","1597.71","1588.78","1597.71","0.00 %","1,633,246,148.00"
"NEPSE","2020-10-20","1576.62","1583.6","1573.06","1583.6","0.00 %","1,271,829,990.00"
"NEPSE","2020-10-19","1556.85","1570.38","1555.46","1570.38","0.00 %","954,656,107.00"
"NEPSE","2020-10-18","1565.9","1567.89","1554.14","1556.8","0.00 %","1,252,748,181.00"
"NEPSE","2020-10-15","1564.69","1579.55","1560.69","1562.46","0.00 %","1,425,890,738.00"
"NEPSE","2020-10-14","1572.35","1573.08","1560.45","1561.17","0.00 %","1,496,387,992.00"
"NEPSE","2020-10-13","1583.29","1584.28","1567.23","1568.59","0.00 %","1,819,638,977.00"
"NEPSE","2020-10-12","1580.14","1580.8","1566.7","1578.01","0.00 %","1,949,060,194.00"
"NEPSE","2020-10-11","1594.01","1594.36","1574.62","1576.27","0.00 %","2,395,432,599.00"
"NEPSE","2020-10-08","1607.52","1614.04","1586.96","1589.63","0.00 %","2,862,712,521.00"
"NEPSE","2020-10-07","1593.04","1602.14","1587.59","1600.97","0.00 %","3,358,506,296.00"
"NEPSE","2020-10-06","1588.01","1588.01","1581.75","1586.29","0.00 %","2,510,585,332.00"
"NEPSE","2020-10-05","1587.31","1594.89","1580.65","1582.12","0.00 %","2,578,607,088.00"
"NEPSE","2020-10-04","1577.77","1588.05","1577.77","1585.75","0.00 %","3,178,853,719.00"
"NEPSE","2020-10-01","1553.95","1572.94","1553.95","1571.04","0.00 %","2,807,708,137.00"
"NEPSE","2020-09-30","1561.58","1563.4","1542.57","1550.43","0.00 %","1,953,636,694.00"
"NEPSE","2020-09-29","1564.92","1564.92","1552.77","1553.62","0.00 %","1,829,872,968.00"
"NEPSE","2020-09-28","1566.44","1569.31","1557.42","1560.83","0.00 %","1,690,154,525.00"
"NEPSE","2020-09-27","1569.06","1575.43","1562.11","1565.55","0.00 %","3,138,243,371.00"
"NEPSE","2020-09-24","1565.31","1565.31","1554.38","1561.27","0.00 %","2,233,489,024.00"
"NEPSE","2020-09-23","1543.37","1555.52","1535.03","1555.52","0.00 %","1,727,821,707.00"
"NEPSE","2020-09-22","1576.55","1577.19","1541.75","1546.15","0.00 %","2,810,425,268.00"
