Date,Symbol,Open,High,Low,Close,Percent Change,Volume
2022-12-29,NEPSE,1973.18,2029.11,1962.42,2029.03,2.88 %,"2,860,345,781.68"
2022-12-28,NEPSE,1991.81,1994.33,1961.57,1972.15,-0.60 %,"2,153,547,207.91"
2022-12-27,NEPSE,1928.81,1999.01,1928.81,1983.95,3.11 %,"3,884,396,997.98"
2022-12-26,NEPSE,1868.18,1924.09,1866.37,1924.09,3.05 %,"2,097,049,941.35"
2022-12-22,NEPSE,1864.41,1867.21,1850.58,1867.21,0.00 %,"1,119,797,921.31"
2022-12-21,NEPSE,1874.85,1883.09,1864.7,1867.22,-0.31 %,"863,816,561.06"
2022-12-20,NEPSE,1859.72,1881.21,1858.57,1873.11,0.76 %,"930,839,901.14"
2022-12-19,NEPSE,1855.19,1865.18,1849.19,1858.89,0.21 %,"886,098,568.38"
2022-12-18,NEPSE,1883.65,1883.82,1850.96,1855.06,-1.46 %,"1,157,155,099.09"
2022-12-15,NEPSE,1897.34,1899.0,1880.16,1882.6,-0.76 %,"1,192,616,187.82"
2022-12-14,NEPSE,1900.61,1906.04,1893.01,1897.08,-0.14 %,"727,877,897.36"
2022-12-13,NEPSE,1900.23,1904.75,1888.82,1899.7,-0.13 %,"777,089,165.15"
2022-12-12,NEPSE,1884.22,1902.42,1868.65,1902.27,0.90 %,"1,366,010,464.02"
2022-12-11,NEPSE,1916.04,1918.51,1883.09,1885.31,-1.67 %,"1,103,404,045.08"
2022-12-07,NEPSE,1935.08,1936.39,1916.19,1917.28,-0.86 %,"1,654,662,550.99"
2022-12-06,NEPSE,1941.08,1944.11,1922.13,1933.88,-0.25 %,"965,210,899.14"
2022-12-05,NEPSE,1964.79,1965.77,1935.65,1938.76,-1.25 %,"1,670,455,034.63"
2022-12-04,NEPSE,1961.07,1973.55,1957.18,1963.22,0.11 %,"1,561,702,992.01"
2022-12-01,NEPSE,1949.48,1969.02,1941.58,1961.06,0.58 %,"1,322,972,185.65"
