"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-12-31","2079.37","2112.59","2073.8","2087.27","0.00 %","5,703,469,837.00"
"NEPSE","2020-12-30","2023.59","2062.06","2023.4","2062.06","0.00 %","4,446,222,579.00"
"NEPSE","2020-12-29","2016.26","2031.47","2009.38","2012.89","0.00 %","4,092,227,802.00"
"NEPSE","2020-12-28","1998.81","2013.51","1981.5","2007.29","0.00 %","3,850,320,045.00"
"NEPSE","2020-12-27","2047.12","2047.19","1994.8","1998.65","0.00 %","4,623,452,312.00"
"NEPSE","2020-12-24","2091.59","2091.59","2025.65","2038.63","0.00 %","5,369,046,322.00"
"NEPSE","2020-12-23","2094.27","2127.22","2063.13","2068.45","0.00 %","6,862,445,215.00"
"NEPSE","2020-12-22","1987.47","2061.41","1987.47","2061.41","0.00 %","6,740,744,432.00"
"NEPSE","2020-12-21","1919.05","1977.42","1874.07","1965.96","0.00 %","6,698,874,354.00"
"NEPSE","2020-12-20","2046.57","2046.57","1935.4","1935.63","0.00 %","8,612,857,317.00"
"NEPSE","2020-12-17","2058.72","2059.8","2025.19","2032.51","0.00 %","6,769,890,815.00"
"NEPSE","2020-12-16","2097.2","2097.2","2041.85","2055.22","0.00 %","5,144,675,578.00"
"NEPSE","2020-12-15","2085.56","2100.96","2050.9","2061.41","0.00 %","6,069,331,687.00"
"NEPSE","2020-12-14","2022.72","2069.06","2022.72","2067.17","0.00 %","7,204,136,923.00"
"NEPSE","2020-12-13","1973.75","2010.45","1967.44","2010.45","0.00 %","4,899,484,131.00"
"NEPSE","2020-12-10","1954.6","1974.12","1938.92","1964.02","0.00 %","4,146,321,050.00"
"NEPSE","2020-12-09","2006.4","2009.81","1948.98","1955.75","0.00 %","4,745,649,292.00"
"NEPSE","2020-12-08","2033.97","2047.35","1982.07","1995.35","0.00 %","5,719,436,384.00"
"NEPSE","2020-12-07","1929.46","2004.39","1914.42","2004.39","0.00 %","6,667,956,831.00"
"NEPSE","2020-12-06","2051.51","2051.51","1932.11","1932.11","0.00 %","7,209,180,213.00"
"NEPSE","2020-12-03","2090.79","2118.41","2040.99","2055.45","0.00 %","8,026,023,798.00"
"NEPSE","2020-12-02","2016.82","2077.7","2016.82","2071.02","0.00 %","7,463,482,972.00"
"NEPSE","2020-12-01","2009.46","2022.25","1966.18","2000.4","0.00 %","7,404,154,007.00"
