"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-02-27","1598.81","1635.51","1558.65","1632.17","0.00 %","4,460,536,251.00"
"NEPSE","2020-02-26","1548.32","1596.13","1548.32","1596.13","0.00 %","4,154,883,092.00"
"NEPSE","2020-02-25","1504.8","1544.07","1480.24","1545.19","0.00 %","2,992,160,524.00"
"NEPSE","2020-02-24","1507.98","1536.83","1499.04","1502.18","0.00 %","3,410,516,278.00"
"NEPSE","2020-02-23","1435.87","1509.92","1435.87","1504.14","0.00 %","3,608,526,354.00"
"NEPSE","2020-02-20","1405.51","1434.57","1405.51","1434.57","0.00 %","2,785,004,908.00"
"NEPSE","2020-02-19","1399.29","1406.25","1389.12","1405.25","0.00 %","1,628,841,389.00"
"NEPSE","2020-02-18","1399.47","1416.87","1387.68","1400.01","0.00 %","2,125,977,034.00"
"NEPSE","2020-02-17","1364.34","1403.21","1364.34","1398.24","0.00 %","2,687,533,442.00"
"NEPSE","2020-02-16","1344.73","1363.97","1344.73","1363.97","0.00 %","1,978,108,701.00"
"NEPSE","2020-02-13","1346.45","1354.88","1342.9","1344.59","0.00 %","1,773,805,746.00"
"NEPSE","2020-02-12","1341.07","1353.29","1340.87","1345.97","0.00 %","1,509,784,311.00"
"NEPSE","2020-02-11","1324.31","1342.91","1323.69","1341.38","0.00 %","1,532,250,440.00"
"NEPSE","2020-02-10","1320.77","1329.84","1315.37","1324.26","0.00 %","932,086,055.00"
"NEPSE","2020-02-09","1332.91","1333.85","1316.1","1319.99","0.00 %","950,402,584.00"
"NEPSE","2020-02-06","1341.03","1346.6","1331.02","1333.69","0.00 %","1,049,345,436.00"
"NEPSE","2020-02-05","1338.5","1342.62","1335.72","1342.36","0.00 %","1,082,483,909.00"
"NEPSE","2020-02-04","1351.01","1353.27","1334.09","1337.04","0.00 %","1,570,166,163.00"
"NEPSE","2020-02-03","1348.12","1355.27","1339.6","1349.13","0.00 %","1,611,719,203.00"
"NEPSE","2020-02-02","1325.62","1349.68","1331.87","1346.64","0.00 %","2,077,987,799.00"
