"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-01-30","1306.29","1331.83","1306.29","1325.38","0.00 %","1,966,219,749.00"
"NEPSE","2020-01-29","1306.16","1311.74","1302.14","1305.88","0.00 %","1,293,711,383.00"
"NEPSE","2020-01-28","1300.65","1316.44","1300.65","1306.15","0.00 %","1,400,467,805.00"
"NEPSE","2020-01-27","1276.68","1300.62","1274.03","1300.62","0.00 %","917,359,865.00"
"NEPSE","2020-01-26","1298.67","1299.46","1275.52","1276.68","0.00 %","965,018,662.00"
"NEPSE","2020-01-23","1314.16","1320.76","1295.8","1297.47","0.00 %","1,384,209,412.00"
"NEPSE","2020-01-22","1324.32","1325.69","1310.64","1313.42","0.00 %","1,581,381,364.00"
"NEPSE","2020-01-21","1318.65","1331.28","1309.14","1320.47","0.00 %","1,519,976,760.00"
"NEPSE","2020-01-20","1342.7","1359.32","1308.62","1317.11","0.00 %","1,953,780,000.00"
"NEPSE","2020-01-19","1310.26","1349.1","1310.26","1343.65","0.00 %","2,090,877,917.00"
"NEPSE","2020-01-16","1284.28","1313.19","1284.28","1310.23","0.00 %","1,682,330,000.00"
"NEPSE","2020-01-15","1263.32","1287.2","1263.32","1284.23","0.00 %","893,677,000.00"
"NEPSE","2020-01-14","1271.11","1274.86","1254.3","1263.38","0.00 %","1,026,443,666.00"
"NEPSE","2020-01-13","1260.01","1285.5","1259.34","1270.86","0.00 %","1,665,520,000.00"
"NEPSE","2020-01-12","1213.19","1255.72","1213.19","1255.72","0.00 %","1,335,747,967.00"
"NEPSE","2020-01-09","1209.87","1216.23","1206.49","1213.11","0.00 %","837,035,757.00"
"NEPSE","2020-01-08","1217.82","1223.66","1207.26","1209.6","0.00 %","732,169,261.00"
"NEPSE","2020-01-07","1200.65","1218.14","1200.65","1216.92","0.00 %","1,102,736,748.00"
"NEPSE","2020-01-06","1183.35","1200.69","1183.35","1200.69","0.00 %","842,582,150.00"
"NEPSE","2020-01-05","1166.49","1187.33","1163.39","1182.31","0.00 %","712,425,827.00"
"NEPSE","2020-01-02","1168.63","1169.27","1165.24","1166.21","0.00 %","532,211,211.00"
"NEPSE","2020-01-01","1166.52","1169.5","1163.99","1169.5","0.00 %","372,988,301.00"
