"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-07-30","1433.14","1444.06","1421.07","1439.06","0.00 %","1,320,266,678.00"
"NEPSE","2020-07-29","1452.07","1452.07","1431.46","1431.52","0.00 %","1,687,093,091.00"
"NEPSE","2020-07-28","1463.81","1466.04","1449.86","1454.89","0.00 %","1,259,751,557.00"
"NEPSE","2020-07-27","1467.89","1475.2","1456.47","1462.48","0.00 %","1,793,915,286.00"
"NEPSE","2020-07-26","1445.6","1464.88","1444.77","1465.1","0.00 %","1,942,679,380.00"
"NEPSE","2020-07-23","1434.08","1440.32","1417.32","1442.61","0.00 %","1,327,135,218.00"
"NEPSE","2020-07-22","1452.78","1461.29","1429.65","1432.44","0.00 %","1,532,511,716.00"
"NEPSE","2020-07-21","1472.19","1479.3","1444.5","1449.94","0.00 %","1,872,220,447.00"
"NEPSE","2020-07-20","1539.37","1556.19","1460.15","1464.94","0.00 %","2,802,233,715.00"
"NEPSE","2020-07-19","1408.51","1479.03","1408.51","1479.03","0.00 %","62,566,293.00"
"NEPSE","2020-07-16","1364.24","1395.82","1362.62","1394.77","0.00 %","1,041,770,867.00"
"NEPSE","2020-07-15","1347.88","1367.82","1347.88","1362.34","0.00 %","1,160,491,522.00"
"NEPSE","2020-07-14","1344.42","1349.24","1340.66","1347.44","0.00 %","994,545,109.00"
"NEPSE","2020-07-13","1342.59","1352.69","1334.17","1342.4","0.00 %","1,088,716,118.00"
"NEPSE","2020-07-12","1331.31","1351.82","1331.31","1340.29","0.00 %","1,111,090,272.00"
"NEPSE","2020-07-09","1327.13","1333.25","1312.01","1331.27","0.00 %","908,086,197.00"
"NEPSE","2020-07-08","1338.54","1343.59","1319.1","1326.53","0.00 %","1,078,462,141.00"
"NEPSE","2020-07-07","1299.72","1345.96","1299.72","1336.66","0.00 %","1,199,041,859.00"
"NEPSE","2020-07-06","1266.08","1298.73","1259.94","1298.73","0.00 %","927,841,329.00"
"NEPSE","2020-07-05","1256.18","1280.93","1246.8","1265.45","0.00 %","1,033,390,231.00"
"NEPSE","2020-07-02","1351.89","1362.35","1256.11","1256.11","0.00 %","476,654,971.00"
"NEPSE","2020-07-01","1261.54","1336.52","1261.54","1336.52","0.00 %","407,352,247.00"
