"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-11-30","2000","2028.45","1971.24","1997.05","0.00 %","8,867,714,682.00"
"NEPSE","2020-11-29","1912.11","1971.42","1912.11","1968.27","0.00 %","9,227,348,348.00"
"NEPSE","2020-11-26","1894.78","1926.91","1879","1893.24","0.00 %","7,613,030,091.00"
"NEPSE","2020-11-25","1820.87","1874.81","1820.87","1874.81","0.00 %","5,131,886,488.00"
"NEPSE","2020-11-24","1790.19","1813.86","1786.71","1810.11","0.00 %","5,442,950,189.00"
"NEPSE","2020-11-23","1789.35","1792.41","1772.11","1780.43","0.00 %","4,762,704,611.00"
"NEPSE","2020-11-22","1791.21","1811.63","1761.75","1782.81","0.00 %","6,878,787,665.00"
"NEPSE","2020-11-19","1750.42","1779.21","1750.42","1778.12","0.00 %","6,116,730,071.00"
"NEPSE","2020-11-18","1714.86","1741.81","1708.87","1741.81","0.00 %","4,791,041,649.00"
"NEPSE","2020-11-12","1713.71","1722.32","1702.7","1718.49","0.00 %","4,256,475,891.00"
"NEPSE","2020-11-11","1681.82","1707.67","1681.82","1707.67","0.00 %","4,099,604,742.00"
"NEPSE","2020-11-10","1660.37","1678.79","1659.18","1678.79","0.00 %","4,096,190,256.00"
"NEPSE","2020-11-09","1648.75","1661.32","1648.75","1652.8","0.00 %","3,699,879,726.00"
"NEPSE","2020-11-08","1643.29","1648.58","1637.8","1648.58","0.00 %","3,526,777,261.00"
"NEPSE","2020-11-05","1644.94","1645.08","1634.38","1636.17","0.00 %","2,842,469,177.00"
"NEPSE","2020-11-04","1645.53","1645.7","1638.69","1640.64","0.00 %","1,757,423,745.00"
"NEPSE","2020-11-03","1636.2","1644.61","1635.15","1643.03","0.00 %","2,237,964,572.00"
"NEPSE","2020-11-02","1644.01","1646.9","1635.64","1637.63","0.00 %","2,453,954,688.00"
"NEPSE","2020-11-01","1654.15","1654.15","1634.63","1640.95","0.00 %","2,930,939,007.00"
