"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-10-29","1661.64","1663.41","1640.48","1645.67","0.00 %","3,037,694,845.00"
"NEPSE","2020-10-28","1612.5","1647.45","1612.37","1647.45","0.00 %","2,725,994,069.00"
"NEPSE","2020-10-22","1609.11","1609.52","1596.22","1606.25","0.00 %","1,994,543,919.00"
"NEPSE","2020-10-21","1591.04","1597.71","1588.78","1597.71","0.00 %","1,633,246,148.00"
"NEPSE","2020-10-20","1576.62","1583.6","1573.06","1583.6","0.00 %","1,271,829,990.00"
"NEPSE","2020-10-19","1556.85","1570.38","1555.46","1570.38","0.00 %","954,656,107.00"
"NEPSE","2020-10-18","1565.9","1567.89","1554.14","1556.8","0.00 %","1,252,748,181.00"
"NEPSE","2020-10-15","1564.69","1579.55","1560.69","1562.46","0.00 %","1,425,890,738.00"
"NEPSE","2020-10-14","1572.35","1573.08","1560.45","1561.17","0.00 %","1,496,387,992.00"
"NEPSE","2020-10-13","1583.29","1584.28","1567.23","1568.59","0.00 %","1,819,638,977.00"
"NEPSE","2020-10-12","1580.14","1580.8","1566.7","1578.01","0.00 %","1,949,060,194.00"
"NEPSE","2020-10-11","1594.01","1594.36","1574.62","1576.27","0.00 %","2,395,432,599.00"
"NEPSE","2020-10-08","1607.52","1614.04","1586.96","1589.63","0.00 %","2,862,712,521.00"
"NEPSE","2020-10-07","1593.04","1602.14","1587.59","1600.97","0.00 %","3,358,506,296.00"
"NEPSE","2020-10-06","1588.01","1588.01","1581.75","1586.29","0.00 %","2,510,585,332.00"
"NEPSE","2020-10-05","1587.31","1594.89","1580.65","1582.12","0.00 %","2,578,607,088.00"
"NEPSE","2020-10-04","1577.77","1588.05","1577.77","1585.75","0.00 %","3,178,853,719.00"
"NEPSE","2020-10-01","1553.95","1572.94","1553.95","1571.04","0.00 %","2,807,708,137.00"
