"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2020-09-30","1561.58","1563.4","1542.57","1550.43","0.00 %","1,953,636,694.00"
"NEPSE","2020-09-29","1564.92","1564.92","1552.77","1553.62","0.00 %","1,829,872,968.00"
"NEPSE","2020-09-28","1566.44","1569.31","1557.42","1560.83","0.00 %","1,690,154,525.00"
"NEPSE","2020-09-27","1569.06","1575.43","1562.11","1565.55","0.00 %","3,138,243,371.00"
"NEPSE","2020-09-24","1565.31","1565.31","1554.38","1561.27","0.00 %","2,233,489,024.00"
"NEPSE","2020-09-23","1543.37","1555.52","1535.03","1555.52","0.00 %","1,727,821,707.00"
"NEPSE","2020-09-22","1576.55","1577.19","1541.75","1546.15","0.00 %","2,810,425,268.00"
"NEPSE","2020-09-21","1587.82","1587.99","1561.49","1569.06","0.00 %","2,637,376,216.00"
"NEPSE","2020-09-20","1595.47","1605.12","1574.08","1575.18","0.00 %","2,742,795,692.00"
"NEPSE","2020-09-17","1555.86","1577.99","1547.13","1572.18","0.00 %","3,315,664,319.00"
"NEPSE","2020-09-16","1537.35","1543.98","1530.67","1541.4","0.00 %","1,845,634,030.00"
"NEPSE","2020-09-15","1544.71","1548.35","1531.05","1536.03","0.00 %","1,800,197,903.00"
"NEPSE","2020-09-14","1545.68","1553.56","1538.43","1540.51","0.00 %","3,134,135,908.00"
"NEPSE","2020-09-13","1528.15","1537.25","1522.28","1537.25","0.00 %","3,386,859,972.00"
"NEPSE","2020-09-10","1514.13","1532.48","1512.53","1520.69","0.00 %","2,170,068,283.00"
"NEPSE","2020-09-09","1501.86","1511.93","1495.11","1508.2","0.00 %","2,563,415,186.00"
"NEPSE","2020-09-08","1491.33","1500.15","1477.25","1495.15","0.00 %","1,798,363,063.00"
"NEPSE","2020-09-07","1503.37","1503.37","1483.65","1487.81","0.00 %","2,164,930,214.00"
"NEPSE","2020-09-06","1538.42","1538.42","1494.97","1499.97","0.00 %","2,782,377,887.00"
"NEPSE","2020-09-03","1524.19","1524.67","1497.47","1510.42","0.00 %","2,634,886,231.00"
"NEPSE","2020-09-02","1509.4","1519.78","1499.72","1510.57","0.00 %","4,181,036,115.00"
